office,state,winner,dem_diff,dem_share,dem_share_2p,candidates
P,AK,TRUMP,-0.148,0.365,0.416,CLINTON|TRUMP
P,AL,TRUMP,-0.277,0.344,0.356,CLINTON|TRUMP
P,AR,TRUMP,-0.269,0.337,0.357,CLINTON|TRUMP
P,AZ,TRUMP,-0.035,0.455,0.481,CLINTON|TRUMP
P,CA,CLINTON,0.298,0.62,0.658,CLINTON|TRUMP
P,CO,CLINTON,0.049,0.482,0.527,CLINTON|TRUMP
P,CT,CLINTON,0.137,0.546,0.572,CLINTON|TRUMP
P,DC,CLINTON,0.868,0.909,0.957,CLINTON|TRUMP
P,DE,CLINTON,0.115,0.534,0.56,CLINTON|TRUMP
P,FL,TRUMP,-0.012,0.478,0.494,CLINTON|TRUMP
P,GA,TRUMP,-0.051,0.459,0.474,CLINTON|TRUMP
P,HI,CLINTON,0.322,0.622,0.675,CLINTON|TRUMP
P,IA,TRUMP,-0.094,0.417,0.449,CLINTON|TRUMP
P,ID,TRUMP,-0.318,0.275,0.317,CLINTON|TRUMP
P,IL,CLINTON,0.171,0.56,0.59,CLINTON|TRUMP
P,IN,TRUMP,-0.190,0.379,0.4,CLINTON|TRUMP
P,KS,TRUMP,-0.210,0.362,0.388,CLINTON|TRUMP
P,KY,TRUMP,-0.298,0.327,0.343,CLINTON|TRUMP
P,LA,TRUMP,-0.197,0.384,0.398,CLINTON|TRUMP
P,MA,CLINTON,0.273,0.608,0.645,CLINTON|TRUMP
P,MD,CLINTON,0.260,0.602,0.638,CLINTON|TRUMP
P,ME,CLINTON,0.027,0.479,0.515,CLINTON|TRUMP
P,MI,TRUMP,-0.002,0.473,0.499,CLINTON|TRUMP
P,MN,CLINTON,0.015,0.464,0.508,CLINTON|TRUMP
P,MO,TRUMP,-0.191,0.378,0.399,CLINTON|TRUMP
P,MS,TRUMP,-0.181,0.4,0.408,CLINTON|TRUMP
P,MT,TRUMP,-0.206,0.359,0.389,CLINTON|TRUMP
P,NC,TRUMP,-0.036,0.462,0.481,CLINTON|TRUMP
P,ND,TRUMP,-0.358,0.272,0.302,CLINTON|TRUMP
P,NE,TRUMP,-0.256,0.343,0.364,CLINTON|TRUMP
P,NH,CLINTON,0.003,0.468,0.502,CLINTON|TRUMP
P,NJ,CLINTON,0.141,0.555,0.573,CLINTON|TRUMP
P,NM,CLINTON,0.083,0.483,0.547,CLINTON|TRUMP
P,NV,CLINTON,0.024,0.479,0.513,CLINTON|TRUMP
P,NY,CLINTON,0.212,0.583,0.611,CLINTON|TRUMP
P,OH,TRUMP,-0.080,0.438,0.458,CLINTON|TRUMP
P,OK,TRUMP,-0.364,0.289,0.307,CLINTON|TRUMP
P,OR,CLINTON,0.110,0.501,0.562,CLINTON|TRUMP
P,PA,TRUMP,-0.011,0.477,0.494,CLINTON|TRUMP
P,RI,CLINTON,0.155,0.544,0.583,CLINTON|TRUMP
P,SC,TRUMP,-0.142,0.407,0.426,CLINTON|TRUMP
P,SD,TRUMP,-0.298,0.317,0.34,CLINTON|TRUMP
P,TN,TRUMP,-0.262,0.349,0.364,CLINTON|TRUMP
P,TX,TRUMP,-0.091,0.433,0.452,CLINTON|TRUMP
P,UT,TRUMP,-0.180,0.275,0.377,CLINTON|MCMULLIN|TRUMP
P,VA,CLINTON,0.054,0.498,0.529,CLINTON|TRUMP
P,VT,CLINTON,0.264,0.567,0.652,CLINTON|TRUMP
P,WA,CLINTON,0.162,0.543,0.588,CLINTON|TRUMP
P,WI,TRUMP,-0.008,0.464,0.496,CLINTON|TRUMP
P,WV,TRUMP,-0.421,0.265,0.279,CLINTON|TRUMP
P,WY,TRUMP,-0.463,0.219,0.243,CLINTON|TRUMP
S,AK,MURKOWSKI,,,,METCALFE|MURKOWSKI
S,AL,SHELBY,,,,CRUMPTON|SHELBY
S,AR,BOOZMAN,,,,BOOZMAN|ELDRIDGE
S,AZ,MCCAIN,,,,KIRKPATRICK|MCCAIN
S,CO,BENNET,,,,BENNET|GLENN
S,CT,BLUMENTHAL,,,,BLUMENTHAL|CARTER
S,FL,RUBIO,,,,MURPHY|RUBIO
S,GA,ISAKSON,,,,BARKSDALE|ISAKSON
S,HI,SCHATZ,,,,CARROLL|SCHATZ
S,IA,GRASSLEY,,,,GRASSLEY|JUDGE
S,ID,CRAPO,,,,CRAPO|STURGILL
S,IL,DUCKWORTH,,,,DUCKWORTH|KIRK
S,IN,YOUNG,,,,BAYH|YOUNG
S,KS,MORAN,,,,MORAN|WIESNER
S,KY,PAUL,,,,GRAY|PAUL
S,MD,VAN HOLLEN,,,,SZELIGA|VAN HOLLEN
S,MO,BLUNT,,,,BLUNT|KANDER
S,NC,BURR,,,,BURR|HAUGH|ROSS
S,ND,HOEVEN,,,,GLASSHEIM|HOEVEN
S,NH,HASSAN,,,,AYOTTE|HASSAN
S,NV,CORTEZ MASTO,,,,CORTEZ MASTO|HECK
S,NY,SCHUMER,,,,LONG|SCHUMER
S,OH,PORTMAN,,,,PORTMAN|STRICKLAND
S,OK,LANKFORD,,,,LANKFORD|WORKMAN
S,OR,WYDEN,,,,CALLAHAN|WYDEN
S,PA,TOOMEY,,,,MCGINTY|TOOMEY
S,SC,SCOTT,,,,DIXON|SCOTT
S,SD,THUNE,,,,THUNE|WILLIAMS
S,UT,LEE,,,,LEE|SNOW
S,VT,LEAHY,,,,LEAHY|MILNE
S,WA,MURRAY,,,,MURRAY|VANCE
S,WI,JOHNSON,,,,FEINGOLD|JOHNSON